,make,year,model,mileage,certified,price
329,Toyota,2018,Camry,35528,0,23000
330,Toyota,2009,FJ,109337,0,18991
331,Toyota,2016,Camry,92738,0,11288
332,Toyota,2017,Camry,60826,0,13995
333,Toyota,2013,Camry,64000,0,8300
334,Toyota,2008,Camry,105250,0,7995
335,Toyota,2020,Corolla,3600,0,19821
336,Toyota,2017,Highlander,28501,0,30555
337,Toyota,2014,Camry,47554,1,15171
338,Toyota,2019,Camry,19123,0,18491
339,Toyota,2011,Prius,82155,0,10888
340,Toyota,2018,Camry,26049,0,20274
341,Toyota,2017,Sienna,27632,0,25387
342,Toyota,2020,Corolla,24183,0,15787
343,Toyota,2019,Camry,40757,0,18874
344,Toyota,2019,RAV4,3887,0,34727
345,Toyota,2017,Highlander,36284,0,28874
346,Toyota,2016,Camry,68298,0,13183
347,Toyota,2014,Avalon,64137,0,15495
348,Toyota,2018,Corolla,40340,0,11995
349,Toyota,2011,Sienna,54000,0,15900
350,Toyota,2019,Camry,34012,0,21184
351,Toyota,2020,Supra,2177,0,52778
352,Toyota,2014,Camry,65364,0,12990
353,Toyota,2019,Camry,10108,0,27107
354,Toyota,2013,FJ,85734,0,33975
355,Toyota,2019,C-HR,29841,0,16774
356,Toyota,2009,Corolla,123073,0,6995
357,Toyota,2014,Camry,104153,0,8999
358,Toyota,2019,Camry,24400,0,18889
359,Toyota,2015,Tundra,81323,0,31900
360,Toyota,2017,RAV4,34384,0,21757
361,Toyota,2012,Highlander,154978,0,9999
362,Toyota,2020,4Runner,13115,0,44990
363,Toyota,2016,Tundra,63333,0,34986
364,Toyota,2010,RAV4,101969,0,11495
365,Toyota,2017,Sienna,37750,0,28000
366,Toyota,2020,RAV4,10439,0,29814
367,Toyota,2013,Prius,85163,0,13988
368,Toyota,2013,Prius,135519,0,7900
369,Toyota,2010,FJ,147940,0,15490
370,Toyota,2017,Camry,18510,1,19488
371,Toyota,2015,Prius,61470,0,16998
372,Toyota,2019,Camry,27596,0,19645
373,Toyota,2019,Camry,29734,0,18989
374,Toyota,2014,Camry,148000,0,7100
375,Toyota,2015,Camry,56110,0,12999
376,Toyota,2020,Corolla,20982,1,16485
377,Toyota,2019,Sienna,33839,0,25840
378,Toyota,2019,Camry,4342,1,33620
379,Toyota,2011,4Runner,148586,0,13995
380,Toyota,2015,Highlander,48380,0,19757
381,Toyota,2011,Camry,96376,0,9498
382,Toyota,2011,Highlander,120730,0,15950
383,Toyota,2020,Camry,8708,0,23899
384,Toyota,2006,Sequoia,213050,0,7997
385,Toyota,2017,Corolla,61898,0,13995
386,Toyota,2020,Corolla,28188,0,16394
387,Toyota,2013,Tundra,109353,0,17495
388,Toyota,2019,RAV4,25727,1,25750
389,Toyota,2016,Sienna,93996,0,14990
390,Toyota,2020,RAV4,9445,0,29640
391,Toyota,2015,Sienna,70621,0,19999
392,Toyota,2019,Highlander,19253,0,30397
393,Toyota,2014,FJ,24780,0,49900
394,Toyota,2016,4Runner,45600,0,29749
395,Toyota,2019,Camry,33964,0,16489
396,Toyota,2018,Camry,21828,0,18515
397,Toyota,2007,Avalon,74360,0,8500
398,Toyota,2018,Corolla,20548,0,14990
399,Toyota,2017,Sienna,88904,0,16414
400,Toyota,2017,Sienna,20586,0,26887
401,Toyota,2017,Corolla,34736,0,13600
402,Toyota,2017,RAV4,39645,1,19531
403,Toyota,2018,Corolla,9304,0,19450
404,Toyota,2019,Camry,46311,0,21644
405,Toyota,2019,C-HR,16340,0,15999
406,Toyota,2019,C-HR,29436,0,17532
407,Toyota,2018,C-HR,45158,1,18400
408,Toyota,2019,C-HR,8800,1,21500
409,Toyota,2019,Avalon,19791,0,33991
410,Toyota,2020,Highlander,7002,0,35789
411,Toyota,2017,RAV4,31116,0,21954
412,Toyota,2015,RAV4,85082,0,13978
413,Toyota,2020,Highlander,5112,0,35968
414,Toyota,2018,Camry,51992,0,15615
415,Toyota,2019,Corolla,14918,1,21997
416,Toyota,2016,Avalon,82882,0,14997
417,Toyota,2011,RAV4,109511,0,8295
418,Toyota,2011,RAV4,151398,0,8888
419,Toyota,2019,Camry,38673,0,21991
420,Toyota,2020,Corolla,4383,0,16274
421,Toyota,2018,C-HR,45840,0,17247
422,Toyota,2020,Camry,12390,0,20999
423,Toyota,2017,Corolla,29688,0,14880
424,Toyota,2013,Corolla,115912,0,6999
425,Toyota,2010,Highlander,125320,0,9495
426,Toyota,2017,Camry,38464,0,17000
427,Toyota,2020,Sienna,20260,1,32095
428,Toyota,2015,Sienna,97412,0,17991
429,Toyota,2011,Prius,181197,0,5492
430,Toyota,2012,Camry,71092,0,10509
431,Toyota,2018,Prius,39953,0,17482
432,Toyota,2020,Highlander,8984,0,35977
433,Toyota,2018,Highlander,46105,0,27439
434,Toyota,2018,Corolla,41923,0,12977
435,Toyota,2020,Camry,5755,1,22486
436,Toyota,2018,Highlander,27144,0,26939
437,Toyota,2019,Highlander,19519,0,28939
438,Toyota,2003,Highlander,121904,0,6500
439,Toyota,2019,Land,19832,0,76991
440,Toyota,2018,RAV4,23537,0,21670
441,Toyota,2020,Sienna,21030,0,27220
442,Toyota,2013,Prius,48153,0,11995
443,Toyota,2015,Sienna,123900,0,14997
444,Toyota,2019,Camry,37762,0,19999
445,Toyota,2010,Highlander,110003,0,12391
446,Toyota,2009,Prius,73920,0,7980
447,Toyota,2019,RAV4,35423,0,24977
448,Toyota,2017,RAV4,45119,0,18472
449,Toyota,2019,Camry,36053,0,16917
450,Toyota,2017,Highlander,37709,0,28777
451,Toyota,2018,Camry,38548,0,22839
452,Toyota,2017,RAV4,34503,0,17412
453,Toyota,2013,Sienna,106054,0,14781
454,Toyota,2019,Tundra,31608,0,42995
455,Toyota,2019,Camry,29013,0,18409
456,Toyota,2017,Sienna,20438,0,24939
457,Toyota,2007,Camry,82750,0,8000
458,Toyota,2020,RAV4,13351,1,35720
459,Toyota,2011,Tundra,197456,0,16114
460,Toyota,2018,RAV4,18911,0,24386
461,Toyota,2018,Camry,41998,0,18700
462,Toyota,2020,Camry,4851,0,19987
463,Toyota,2013,Camry,151640,0,8499
464,Toyota,2019,Highlander,24695,0,33000
465,Toyota,2014,Venza,83355,0,14572
466,Toyota,2012,Camry,169800,0,6499
467,Toyota,2011,Prius,155600,0,5990
468,Toyota,2010,Camry,70410,0,7995
469,Toyota,2019,Highlander,34271,0,29204
470,Toyota,2018,Camry,11991,0,18498
471,Toyota,2019,Camry,39623,0,15977
472,Toyota,2015,Camry,107255,0,11757
473,Toyota,2017,Sienna,98906,0,19997
474,Toyota,2017,RAV4,26062,0,21989
475,Toyota,2020,Corolla,15915,0,20000
476,Toyota,2019,Camry,47379,0,17416
477,Toyota,2010,Corolla,152274,0,6500
